name,type,species,affiliation,gender,pronouns,hair,skin,homeworld,death,location,eyes,class
"""Changeling"" Mark 71NB",Racing starfighter,,Ace Squadron,,,,,,,,,
TIE/ba Baron Space Superiority Interceptor,Starfighter,,First Order,,,,,,,,,
"""Impact"" repulsor cannon",Repulsor cannon,,Law enforcement agencies,,,,,,,,,
"""Peacekeeper"" stun baton",Stun baton,,Galactic Empire,,,,,,,,,
"""Renegade"" heavy blaster pistol",Heavy blaster pistol,,Alliance to Restore the Republic,,,,,,,,,
"""Roba"" M-45 repeating ion blaster",Heavy repeating blaster/ion blaster,,Alliance to Restore the Republic,,,,,,,,,
"""Subduer-9"" Riot Blaster",Scatterblaster,,Galactic Empire,,,,,,,,,
0-0-0,,,Galactic Empire,Masculine programming,He/him,,,,"Sometime during or after 0 ABY, Moraband",,,Protocol droid
0-MR1,,,First Order,,,,,,"Between 31–32 ABY,",,,Protocol droid
03-R cryogenic power cell,Power cell,,Alliance to Restore the Republic,,,,,,,,,
04-Z cryogenic power generator,Power generator,,Alliance to Restore the Republic,,,,,,,,,
07,,,Confederacy of Independent Systems,,,,,,"22 BBY, Rishi Moon",,,Battle droid
08,,,Confederacy of Independent Systems,,,,,,"22 BBY, Rishi Moon",,,Battle droid
09,,,Confederacy of Independent Systems,,,,,,"22 BBY, Rishi Moon",,,Battle droid
1-JAC,,,,,,,,,"9 BBY, Daiyu",,,Protocol droid
1.4 FD P-Tower,Light anti-vehicle laser cannon,,Alliance to Restore the Republic,,,,,,,,,
10114,Starfighter,,Galactic Empire,,,,,,,,,
10127,Starfighter,,Galactic Empire,,,,,,,,,
10291,Starfighter,,Galactic Empire,,,,,,,,,
11-3K viper probe droid,,,Galactic Empire,,,,,,,,,Probe droid
125-Z treadspeeder bike,Speeder,,First Order,,,,,,,,,
2-1B,,,Galactic Empire,,He/him,,,,,,,Medical droid
2-1B Delta,,,Galactic Empire,,He/him,,,,,,,Medical droid
2-1B surgical droid,,,Galactic Republic,,,,,,,,,Medical droid
2-MAL personal comlink,Comlink,,Alliance to Restore the Republic,,,,,,,,,
20-T Railcrawler conveyex transport,Train,,Galactic Empire,,,,,,,,,
2163,,,Trade Federation,,He/him,,,,"32 BBY, Naboo",,,Battle droid
224,,,Confederacy of Independent Systems,,,,,,"22 BBY,",,,Battle droid
2296,,,Trade Federation,,,,,,,,,Battle droid
2391,,,Trade Federation,,,,,,,,,Battle droid
261,,,Galactic Empire,,He/him,,,,,,,Astromech droid
264,,,Galactic Empire,Masculine programming,He/him,,,,,,,Astromech droid
2MED2,,,Resistance,,,,,,"Between 31–32 ABY,",,,Medical droid
2P-1,,,Droid Depot,,,,,,,,,Medical droid
388,,,Bedlam Raiders,Masculine programming,,,,,"9 BBY,",,,Battle droid
3PO-series protocol droid,,,"Confederacy of Independent Systems (briefly, unwillingly)",,,,,,,,,Protocol droid
4-A7,,,Confederacy of Independent Systems,Masculine programming,He/him,,,,"22 BBY, Teth",,,Protocol droid
4-LOM,,,Jabba's criminal empire,Masculine programming,He/him,,,,"3 ABY, Nar Shaddaa",,,Protocol droid
42X-11811,,,Confederacy of Independent Systems,,,,,,,,,Battle droid
42X-58939,,,Confederacy of Independent Systems,,,,,,9 BBY,,,Battle droid
