from,to,text,where,time,movie_num,text_processed
qui-gon,captain,Captain.,INT. REPUBLIC CRUISER - COCKPIT,9,1,captain
captain,qui-gon,"Yes, sir?",INT. REPUBLIC CRUISER - COCKPIT,18,1,yes sir
qui-gon,captain,Tell them we wish to board at once.,INT. REPUBLIC CRUISER - COCKPIT,72,1,tell them we wish to board at once
captain,qui-gon,"Yes, sir.",INT. REPUBLIC CRUISER - COCKPIT,18,1,yes sir
captain,nute,With all due respect the ambassadors for the supreme chancellor wish to board immediately.,INT. REPUBLIC CRUISER - COCKPIT,126,1,with all due respect the ambassadors for the supreme chancellor wish to board immediately
nute,captain,"Yes, yes, of course as you know, our blockade is perfectly legal, and we'd be happy to receive the Ambassador. Happy to.",INT. REPUBLIC CRUISER - COCKPIT,198,1,yes yes of course as you know our blockade is perfectly legal and wed be happy to receive the ambassador happy to
tc-14,qui-gon,"I'm TC-14 at your service. This way, please.",INT. FEDERATION BATTLESHIP - DOCKING BAY - SPACE,72,1,im tc at your service this way please
tc-14,qui-gon,"We are greatly honored by your visit, Ambassadors. Make yourselves comfortable. My master will be with you shortly.",INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,162,1,we are greatly honored by your visit ambassadors make yourselves comfortable my master will be with you shortly
obi-wan,qui-gon,I have a bad feeling about this.,INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,63,1,i have a bad feeling about this
qui-gon,obi-wan,I don't sense anything.,INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,36,1,i dont sense anything
obi-wan,qui-gon,"It's not about the mission, Master, it's something, elsewhere, elusive.",INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,90,1,its not about the mission master its something elsewhere elusive
qui-gon,obi-wan,"Don't center on your anxiety, Obi-Wan. Keep your concentration here and now where it belongs.",INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,135,1,dont center on your anxiety obiwan keep your concentration here and now where it belongs
obi-wan,qui-gon,Master Yoda says I should be mindful of the future,INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,90,1,master yoda says i should be mindful of the future
qui-gon,obi-wan,"but not at the expense of the moment. Be mindful of the living Force, my young Padawan.",INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,153,1,but not at the expense of the moment be mindful of the living force my young padawan
obi-wan,qui-gon,"Yes, Master how do you think the trade viceroy will deal with the chancellor's demands?",INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,135,1,yes master how do you think the trade viceroy will deal with the chancellors demands
qui-gon,obi-wan,These Federation types are cowards. The negotiations will be short.,INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,90,1,these federation types are cowards the negotiations will be short
nute,tc-14,What?!? What did you say?,INT. FEDERATION BATTLESHIP - BRIDGE,45,1,what what did you say
tc-14,nute,"The Ambassadors are Jedi Knights, I believe.",INT. FEDERATION BATTLESHIP - BRIDGE,63,1,the ambassadors are jedi knights i believe
dofine,nute,"I knew it! They were sent to force a settlement, eh.",INT. FEDERATION BATTLESHIP - BRIDGE,99,1,i knew it they were sent to force a settlement eh
nute,dofine,Distract them. I will contact Lord Sidious.,INT. FEDERATION BATTLESHIP - BRIDGE,63,1,distract them i will contact lord sidious
dofine,nute,Are you brain-dead? I'm not going in there with two Jedi .Send a droid.,INT. FEDERATION BATTLESHIP - BRIDGE,126,1,are you braindead im not going in there with two jedi send a droid
obi-wan,qui-gon,Is it in their nature to make us wait this long?,INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,99,1,is it in their nature to make us wait this long
qui-gon,obi-wan,No. I sense an unusual amount of fear for something as trivial as this trade dispute.,INT. FEDERATION BATTLESHIP - CONFERENCE ROOM,144,1,no i sense an unusual amount of fear for something as trivial as this trade dispute
darth sidious,nute,What is it?,INT. FEDERATION BATTLESHIP - BRIDGE,27,1,what is it
dofine,darth sidious,"This scheme of yours has failed, Lord Sidious. The blockade is finished. We dare not go against these Jedi.",INT. FEDERATION BATTLESHIP - BRIDGE,171,1,this scheme of yours has failed lord sidious the blockade is finished we dare not go against these jedi
darth sidious,nute,"Viceroy, I don't want this stunted slime in my sight again. This turn of events is unfortunate. We must accelerate our plans. Begin landing your troops.",INT. FEDERATION BATTLESHIP - BRIDGE,234,1,viceroy i dont want this stunted slime in my sight again this turn of events is unfortunate we must accelerate our plans begin landing your troops
nute,darth sidious,"My lord, is that legal?",INT. FEDERATION BATTLESHIP - BRIDGE,45,1,my lord is that legal
darth sidious,nute,I will make it legal.,INT. FEDERATION BATTLESHIP - BRIDGE,45,1,i will make it legal
