name,type,species,affiliation,gender,pronouns,hair,skin,homeworld,death,location,eyes,class
changeling mark 71nb,Racing starfighter,,Ace Squadron,,,,,,,,,
tie/ba baron space superiority interceptor,Starfighter,,First Order,,,,,,,,,
impact repulsor cannon,Repulsor cannon,,Law enforcement agencies,,,,,,,,,
peacekeeper stun baton,Stun baton,,Galactic Empire,,,,,,,,,
renegade heavy blaster pistol,Heavy blaster pistol,,Alliance to Restore the Republic,,,,,,,,,
roba m-45 repeating ion blaster,Heavy repeating blaster/ion blaster,,Alliance to Restore the Republic,,,,,,,,,
subduer-9 riot blaster,Scatterblaster,,Galactic Empire,,,,,,,,,
0-0-0,,,Galactic Empire,Masculine programming,He/him,,,,"Sometime during or after 0 ABY, Moraband",,,Protocol droid
0-mr1,,,First Order,,,,,,"Between 31–32 ABY,",,,Protocol droid
03-r cryogenic power cell,Power cell,,Alliance to Restore the Republic,,,,,,,,,
04-z cryogenic power generator,Power generator,,Alliance to Restore the Republic,,,,,,,,,
07,,,Confederacy of Independent Systems,,,,,,"22 BBY, Rishi Moon",,,Battle droid
08,,,Confederacy of Independent Systems,,,,,,"22 BBY, Rishi Moon",,,Battle droid
09,,,Confederacy of Independent Systems,,,,,,"22 BBY, Rishi Moon",,,Battle droid
1-jac,,,,,,,,,"9 BBY, Daiyu",,,Protocol droid
1.4 fd p-tower,Light anti-vehicle laser cannon,,Alliance to Restore the Republic,,,,,,,,,
10114,Starfighter,,Galactic Empire,,,,,,,,,
10127,Starfighter,,Galactic Empire,,,,,,,,,
10291,Starfighter,,Galactic Empire,,,,,,,,,
11-3k viper probe droid,,,Galactic Empire,,,,,,,,,Probe droid
125-z treadspeeder bike,Speeder,,First Order,,,,,,,,,
2-1b,,,Galactic Empire,,He/him,,,,,,,Medical droid
2-1b delta,,,Galactic Empire,,He/him,,,,,,,Medical droid
2-1b surgical droid,,,Galactic Republic,,,,,,,,,Medical droid
2-mal personal comlink,Comlink,,Alliance to Restore the Republic,,,,,,,,,
20-t railcrawler conveyex transport,Train,,Galactic Empire,,,,,,,,,
2163,,,Trade Federation,,He/him,,,,"32 BBY, Naboo",,,Battle droid
224,,,Confederacy of Independent Systems,,,,,,"22 BBY,",,,Battle droid
2296,,,Trade Federation,,,,,,,,,Battle droid
2391,,,Trade Federation,,,,,,,,,Battle droid
261,,,Galactic Empire,,He/him,,,,,,,Astromech droid
264,,,Galactic Empire,Masculine programming,He/him,,,,,,,Astromech droid
2med2,,,Resistance,,,,,,"Between 31–32 ABY,",,,Medical droid
2p-1,,,Droid Depot,,,,,,,,,Medical droid
388,,,Bedlam Raiders,Masculine programming,,,,,"9 BBY,",,,Battle droid
3po-series protocol droid,,,"Confederacy of Independent Systems (briefly, unwillingly)",,,,,,,,,Protocol droid
4-a7,,,Confederacy of Independent Systems,Masculine programming,He/him,,,,"22 BBY, Teth",,,Protocol droid
4-lom,,,Jabba's criminal empire,Masculine programming,He/him,,,,"3 ABY, Nar Shaddaa",,,Protocol droid
42x-11811,,,Confederacy of Independent Systems,,,,,,,,,Battle droid
42x-58939,,,Confederacy of Independent Systems,,,,,,9 BBY,,,Battle droid
459,,,Bedlam Raiders,Masculine programming,,,,,"9 BBY,",,,Battle droid
