,from,where,text,movie_num,text_processed,trilogy,name,species,affiliation,gender,pronouns,hair,skin,homeworld,death,height,eyes,class,mass,apprentices,birth,families,parents,matched_name,community
0,aayla,134 EXT. FELUCIA-FOREST-DAY,Steady... . steady...,3,steady  steady,1,aayla secura,Twi'lek (Rutian),Jedi Order,Female,She/her,,Blue,Ryloth,"19 BBY, Felucia","1.7 meters (5 ft, 7 in)",Hazel,,55 kilograms,,,,,aayla,1.0
1,aayla,134 EXT. FELUCIA-FOREST-DAY,"(continuing) Bly, do you think they're Droids?",3,continuing bly do you think theyre droids,1,aayla secura,Twi'lek (Rutian),Jedi Order,Female,She/her,,Blue,Ryloth,"19 BBY, Felucia","1.7 meters (5 ft, 7 in)",Hazel,,55 kilograms,,,,,aayla,1.0
2,ackbar,53 INT HEADQUARTERS FRIGATE - MAIN BRIEFING ROOM,"You can see here the Death Star orbiting the forest Moon of Endor. Although the weapon systems on this Death Star are not yet operational, the Death Star does have a strong defense mechanism. It is protected by an energy shield, which is generated from the nearby forest Moon of Endor. The shield must be deactivated if any attack is to be attempted. Once the shield is down, our cruisers will create a perimeter, while the fighters fly into the superstructure and attempt to knock out the main reactor.",6,you can see here the death star orbiting the forest moon of endor although the weapon systems on this death star are not yet operational the death star does have a strong defense mechanism it is protected by an energy shield which is generated from the nearby forest moon of endor the shield must be deactivated if any attack is to be attempted once the shield is down our cruisers will create a perimeter while the fighters fly into the superstructure and attempt to knock out the main reactor,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
3,ackbar,53 INT HEADQUARTERS FRIGATE - MAIN BRIEFING ROOM,(cont) General Calrissian has volunteered to lead the fighter attack,6,cont general calrissian has volunteered to lead the fighter attack,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
4,ackbar,53 INT HEADQUARTERS FRIGATE - MAIN BRIEFING ROOM,General Madine.,6,general madine,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
5,ackbar,81 INT MILLENNIUM FALCON - COCKPIT,(VO) Proceed with the countdown. All groups assume attack coordinates.,6,vo proceed with the countdown all groups assume attack coordinates,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
6,ackbar,81 INT MILLENNIUM FALCON - COCKPIT,"(VO) All craft, prepare to jump to hyperspace on my mark.",6,vo all craft prepare to jump to hyperspace on my mark,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
7,ackbar,94 INT REBEL STAR CRUISER - BRIDGE,May the Force be with us.,6,may the force be with us,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
8,ackbar,97 INT REBEL STAR CRUISER - BRIDGE,"Take evasive action! Green Group, stick close to holding sector MV-7.",6,take evasive action green group stick close to holding sector mv,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
9,ackbar,97 INT REBEL STAR CRUISER - BRIDGE,It's a trap!,6,its a trap,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
10,ackbar,110 INT REBEL STAR CRUISER - BRIDGE,We saw it. All craft prepare to retreat.,6,we saw it all craft prepare to retreat,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
11,ackbar,110 INT REBEL STAR CRUISER - BRIDGE,"We have no choice, General Calrissian. Our cruisers can't repel firepower of that magnitude.",6,we have no choice general calrissian our cruisers cant repel firepower of that magnitude,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
12,ackbar,113 INT MILLENNIUM FALCON - COCKPIT,"At that close range, we won't last long against those Star Destroyers.",6,at that close range we wont last long against those star destroyers,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
13,ackbar,124 INT REBEL STAR CRUISER - BRIDGE,The shield is down! Commence attack on theDeath Star's main reactor.,6,the shield is down commence attack on thedeath stars main reactor,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
14,ackbar,127 INT REBEL STAR CRUISER - BRIDGE,We've got to give those fighters more time. Concentrate all fire on that Super Star Destroyer.,6,weve got to give those fighters more time concentrate all fire on that super star destroyer,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
15,ackbar,133 INT REBEL STAR CRUISER - BRIDGE,Move the fleet away from the Death Star.,6,move the fleet away from the death star,2,ackbar family,Mon Calamari,Mon Calamari monarchy,,,,,,,,,,,,,,,ackbar,2.0
16,aks moe,INT. MAIN ROTUNDA - GALACTIC SENATE - DAY,The Congress of Malastare concurs with the honorable delegate from the Trade Federation. A commision must be appointed that is the law.,1,the congress of malastare concurs with the honorable delegate from the trade federation a commision must be appointed that is the law,1,aks moe,Gran,Congress of Malastare,,He/him,,Orange-yellow,Malastare,Between 24 BBY and 22 BBY,,Black,,,Ask Aak (protégé),,,,aks moe,0.0
17,amee,EXT. MOS ESPA - SLAVE QUARTERS - BACK YARD - DAY,You've been working on that thing for years. It's never going to run.,1,youve been working on that thing for years its never going to run,1,amee,Human,,Female,She/her,Blonde,Fair,Tatooine,,,Gold,,,,c. 38 BBY,,,amee,5.0
18,anakain,EXT. MOS ESPA - STREET - FRUIT STAND - DAY,"Here, you'll like these pallies. Here.",1,here youll like these pallies here,1,,,,,,,,,,,,,,,,,,,
19,anakin,INT. WATTO'S JUNK SHOP - DAY,Mel tassa cho-passa,1,mel tassa chopassa,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
20,anakin,INT. WATTO'S JUNK SHOP - DAY,Are you an angel?,1,are you an angel,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
21,anakin,INT. WATTO'S JUNK SHOP - DAY,"An angel. I've heard the deep space pilots talk about them. They live on the Moons of Iego I thimk. They are the most beautiful creatures in the universe. They are good and kind, and so pretty they make even the most hardened spice pirate cry.",1,an angel ive heard the deep space pilots talk about them they live on the moons of iego i thimk they are the most beautiful creatures in the universe they are good and kind and so pretty they make even the most hardened spice pirate cry,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
22,anakin,INT. WATTO'S JUNK SHOP - DAY,"I listen to all the traders and star pilots who come through here. I'm a pilot, you know, and someday I'm gonna fly away from this place.",1,i listen to all the traders and star pilots who come through here im a pilot you know and someday im gonna fly away from this place,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
23,anakin,INT. WATTO'S JUNK SHOP - DAY,All mylife.,1,all mylife,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
24,anakin,INT. WATTO'S JUNK SHOP - DAY,"Since I was very little, three, I think. My Mom and I were sold to Gardulla the Hutt, but she lost us, betting on the Podraces, to Watto, who's a lot better master than Gardulla, I think.",1,since i was very little three i think my mom and i were sold to gardulla the hutt but she lost us betting on the podraces to watto whos a lot better master than gardulla i think,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
25,anakin,INT. WATTO'S JUNK SHOP - DAY,I am a person! My name is Anakin.,1,i am a person my name is anakin,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
26,anakin,INT. WATTO'S JUNK SHOP - DAY,Hit the nose!,1,hit the nose,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
27,anakin,INT. WATTO'S JUNK SHOP - DAY,wouldn't have lasted long if I weren't so good at fixing things. I'm making my own droid,1,wouldnt have lasted long if i werent so good at fixing things im making my own droid,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
28,anakin,INT. WATTO'S JUNK SHOP - DAY,I'm glad I met you too.,1,im glad i met you too,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
29,anakin,INT. WATTO'S JUNK SHOP - DAY,La lova num botaffa.,1,la lova num botaffa,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
30,anakin,EXT. MOS ESPA - STREET - MARKET - DAY,"Chess ko, Sebulba Coo wolpa tooney rana.",1,chess ko sebulba coo wolpa tooney rana,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
31,anakin,EXT. MOS ESPA - STREET - MARKET - DAY,Oh da Hutt cha porko ootman geesa me teesa rodda co pana pee choppa chawa.,1,oh da hutt cha porko ootman geesa me teesa rodda co pana pee choppa chawa,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
32,anakin,EXT. MOS ESPA - STREET - MARKET - DAY,"Eh, chee bana do mullee ra.",1,eh chee bana do mullee ra,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
33,anakin,EXT. MOS ESPA - STREET - MARKET - DAY,Hi!,1,hi,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
34,anakin,EXT. MOS ESPA - STREET - MARKET - DAY,Your buddy here was about to be turned into orange goo. He picked a fight with a Dug. An especially dangerous Dug called Sebulba.,1,your buddy here was about to be turned into orange goo he picked a fight with a dug an especially dangerous dug called sebulba,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
35,anakin,EXT. MOS ESPA - STREET - FRUIT STAND - DAY,Do you have shelter?,1,do you have shelter,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
36,anakin,EXT. MOS ESPA - STREET - FRUIT STAND - DAY,Is it far?,1,is it far,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
37,anakin,EXT. MOS ESPA - STREET - FRUIT STAND - DAY,"You'll never reach the outskirts in time sandstorms are very, very dangerous. Come with me. Hurry!",1,youll never reach the outskirts in time sandstorms are very very dangerous come with me hurry,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
38,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,Mom! Mom! I'm home.,1,mom mom im home,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
39,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,"These are my friends, Mom.",1,these are my friends mom,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
40,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,I'm building a droid. You wanna see? Come on. I'll show you 3PO.,1,im building a droid you wanna see come on ill show you po,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
41,anakin,INT. ANAKIN'S HOVEL - BEDROOM - DAY,Isn't he great?! He's not finished yet.,1,isnt he great hes not finished yet,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
42,anakin,INT. ANAKIN'S HOVEL - BEDROOM - DAY,You reall like him? He's a protocol droid to help Mom. Watch!,1,you reall like him hes a protocol droid to help mom watch,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
43,anakin,INT. ANAKIN'S HOVEL - BEDROOM - DAY,"When the storm is over, you can see my racer. I'm building a Podracer!",1,when the storm is over you can see my racer im building a podracer,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
44,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,"I've been working on a scanner to try and locate them, but no luck.",1,ive been working on a scanner to try and locate them but no luck,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
45,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,and they blow you up poof!,1,and they blow you up poof,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
46,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,Have you ever seen a Podrace?,1,have you ever seen a podrace,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
47,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,I'm the only human who can do it.,1,im the only human who can do it,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
48,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,"Well, ahhh you're a Jedi Knight, aren't you?",1,well ahhh youre a jedi knight arent you,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
49,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,I saw your laser sword. Only Jedi carry that kind of weapon.,1,i saw your laser sword only jedi carry that kind of weapon,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
50,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,I don't think so No one can kill a Jedi Knight.,1,i dont think so no one can kill a jedi knight,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
51,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,I had a dream I was a Jedi. I came back here and free all the slaves have you come to free us?,1,i had a dream i was a jedi i came back here and free all the slaves have you come to free us,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
52,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,I think you have why else would you be here?,1,i think you have why else would you be here,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
53,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,Coruscant wow how did you end up here in the outer rim?,1,coruscant wow how did you end up here in the outer rim,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
54,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,I can help! I can fix anything!,1,i can help i can fix anything,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
55,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,"I've built a racer! It's the fastest ever There's a big race tomorrow, on Boonta Eve. You could enter my pod. It's all but finished",1,ive built a racer its the fastest ever theres a big race tomorrow on boonta eve you could enter my pod its all but finished,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
56,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,Watto doesn't know I've built it.,1,watto doesnt know ive built it,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
57,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,"You could make him think it's your's, and you could get him to let me pilot it for you.",1,you could make him think its yours and you could get him to let me pilot it for you,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
58,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,"But Mom, I love it and they need help they're in trouble. The prize money would more than pay for the parts they need.",1,but mom i love it and they need help theyre in trouble the prize money would more than pay for the parts they need,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
59,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,"Mom, you say the biggest problem in this universe is nobody helps each other.",1,mom you say the biggest problem in this universe is nobody helps each other,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
60,anakin,INT. ANAKIN'S HOVEL - MAIN ROOM - DAY,Is that a yes? That is a yes!,1,is that a yes that is a yes,both,anakin skywalker,Human,Jedi Order,Male,He/him,"Blond,","Light,",Tatooine,"4 ABY,","1.35 meters (4 ft, 5 in)","Blue,",,120 kilograms in armor,Ahsoka Tano (Padawan),"41 BBY,",Skywalker family,Shmi Skywalker Lars,anakin,5.0
